,start_at,volume,open,high,low,close,turnover,year,month,day,hour,weekday
1049,1582646400,567.885,9395.5,9433.5,9321.0,9350.0,5309724.75,2020,2,26,0,2.0
1050,1582660800,622.253,9350.0,9408.0,9313.5,9349.0,5817443.297,2020,2,26,4,2.0
1051,1582675200,1013.597,9349.0,9378.0,9135.0,9164.0,9288602.908,2020,2,26,8,2.0
1052,1582689600,2238.404,9164.0,9223.5,9144.0,9157.0,20497065.428,2020,2,26,12,2.0
1053,1582704000,501.895,9157.0,9200.0,9150.0,9183.0,4608901.785,2020,2,26,16,2.0
1054,1582718400,3347.472,9183.0,9281.0,9006.5,9040.0,30261146.88,2020,2,26,20,2.0
1055,1582732800,2723.016,9040.0,9040.0,8674.0,8829.0,24041508.264,2020,2,27,0,3.0
1056,1582747200,815.754,8829.0,8855.5,8733.5,8793.5,7173332.799,2020,2,27,4,3.0
1057,1582761600,1330.947,8793.5,8793.5,8547.5,8740.0,11632476.78,2020,2,27,8,3.0
1058,1582776000,570.533,8740.0,8820.5,8700.0,8820.5,5032386.3265,2020,2,27,12,3.0
1059,1582790400,488.62,8820.5,8850.0,8750.5,8792.5,4296191.35,2020,2,27,16,3.0
1060,1582804800,740.535,8792.5,8928.5,8789.0,8850.0,6553734.75,2020,2,27,20,3.0
1061,1582819200,535.787,8850.0,8958.0,8850.0,8904.0,4770647.448,2020,2,28,0,4.0
1062,1582833600,778.729,8904.0,8914.5,8689.5,8800.5,6853204.5645,2020,2,28,4,4.0
1063,1582848000,570.432,8800.5,8899.0,8800.0,8844.0,5044900.608,2020,2,28,8,4.0
1064,1582862400,454.728,8844.0,8857.0,8714.5,8737.5,3973185.9,2020,2,28,12,4.0
1065,1582876800,573.857,8737.5,8779.0,8551.5,8574.0,4920249.918,2020,2,28,16,4.0
1066,1582891200,1569.903,8574.0,8706.5,8466.0,8689.0,13640887.167,2020,2,28,20,4.0
1067,1582905600,616.628,8689.0,8730.5,8498.5,8587.5,5295292.95,2020,2,29,0,5.0
1068,1582920000,53.238,8587.5,8777.5,8587.5,8777.5,467296.545,2020,2,29,4,5.0
1069,1582934400,0.0,8777.5,8777.5,8777.5,8777.5,0.0,2020,2,29,8,5.0
1070,1582948800,0.001,8777.5,8777.5,8756.5,8756.5,8.7565,2020,2,29,12,5.0
1071,1582963200,0.0,8756.5,8756.5,8756.5,8756.5,0.0,2020,2,29,16,5.0
1072,1582977600,0.8,8756.5,8756.5,8603.0,8603.0,6882.4,2020,2,29,20,5.0
1073,1582992000,0.0,8603.0,8603.0,8603.0,8603.0,0.0,2020,3,1,0,6.0
1074,1583006400,14.335,8603.0,8632.5,8556.5,8556.5,122657.4275,2020,3,1,4,6.0
1075,1583020800,144.847,8556.5,8657.0,8527.5,8657.0,1253940.479,2020,3,1,8,6.0
1076,1583035200,0.001,8657.0,8657.0,8549.0,8549.0,8.549,2020,3,1,12,6.0
1077,1583049600,74.518,8549.0,8635.5,8549.0,8635.5,643500.189,2020,3,1,16,6.0
1078,1583064000,158.898,8635.5,8689.5,8563.0,8601.5,1366761.147,2020,3,1,20,6.0
1079,1583078400,383.31,8601.5,8601.5,8466.5,8547.0,3276150.57,2020,3,2,0,0.0
1080,1583092800,57.21,8547.0,8573.0,8499.5,8573.0,490461.33,2020,3,2,4,0.0
1081,1583107200,421.9,8573.0,8625.5,8573.0,8614.0,3634246.6,2020,3,2,8,0.0
1082,1583121600,3.49,8614.0,8661.5,8614.0,8661.5,30228.635,2020,3,2,12,0.0
1083,1583136000,1.04,8661.5,8674.0,8650.5,8674.0,9020.96,2020,3,2,16,0.0
1084,1583150400,208.711,8674.0,8851.5,8674.0,8851.5,1847405.4165,2020,3,2,20,0.0
1085,1583164800,10.209,8851.5,8854.0,8851.5,8854.0,90390.486,2020,3,3,0,1.0
1086,1583179200,1.0,8854.0,8946.0,8854.0,8946.0,8946.0,2020,3,3,4,1.0
1087,1583193600,23.499,8946.0,8946.0,8809.5,8889.0,208882.611,2020,3,3,8,1.0
1088,1583208000,33.502,8889.0,8889.0,8772.5,8772.5,293896.295,2020,3,3,12,1.0
1089,1583222400,164.005,8772.5,8869.5,8755.5,8866.5,1454150.3325,2020,3,3,16,1.0
1090,1583236800,286.201,8866.5,8869.5,8750.0,8750.0,2504258.75,2020,3,3,20,1.0
1091,1583251200,86.39,8750.0,8750.0,8672.5,8678.5,749735.615,2020,3,4,0,2.0
1092,1583265600,0.0,8678.5,8678.5,8678.5,8678.5,0.0,2020,3,4,4,2.0
1093,1583280000,99.3,8678.5,8806.5,8678.5,8799.0,873740.7,2020,3,4,8,2.0
1094,1583294400,1.68,8799.0,8829.0,8787.5,8829.0,14832.72,2020,3,4,12,2.0
1095,1583308800,3.077,8829.0,8829.0,8703.0,8703.0,26779.131,2020,3,4,16,2.0
1096,1583323200,247.881,8703.0,8750.0,8703.0,8750.0,2168958.75,2020,3,4,20,2.0
1097,1583337600,0.0,8750.0,8750.0,8750.0,8750.0,0.0,2020,3,5,0,3.0
1098,1583352000,0.0,8750.0,8750.0,8750.0,8750.0,0.0,2020,3,5,4,3.0
1099,1583366400,68.496,8750.0,8923.5,8750.0,8867.5,607388.28,2020,3,5,8,3.0
