"","id","symbol","period","interval","start_at","open_time","volume","open","high","low","close","turnover","year","month","day","hour","weekday","shifted"
"169",3887823,"BTCUSDT",240,240,1584360000,1584360000,4390.094,4542,20001,4497,5148,22600203.912,2020,3,16,20,0,4897
"170",3888434,"BTCUSDT",240,240,1584374400,1584374400,5124.91,5148,5148,4807,4897,25096684.27,2020,3,17,0,1,5008
"171",3888932,"BTCUSDT",240,240,1584388800,1584388800,5101.138,4897,5023.5,4810,5008,25546499.104,2020,3,17,4,1,5285
"172",3889430,"BTCUSDT",240,240,1584403200,1584403200,5271.648,5008,5359,4896,5285,27860659.68,2020,3,17,8,1,5325.5
"173",3889948,"BTCUSDT",240,240,1584417600,1584417600,5011.485,5285,5380,5187.5,5325.5,26688663.3675,2020,3,17,12,1,5236
"174",3890529,"BTCUSDT",240,240,1584432000,1584432000,4903.152,5325.5,5396,5135,5236,25672903.872,2020,3,17,16,1,5338
"175",3891073,"BTCUSDT",240,240,1584446400,1584446400,7235.633,5236,5345,5110,5338,38623808.954,2020,3,17,20,1,5345
"176",3891630,"BTCUSDT",240,240,1584460800,1584460800,5116.98,5338,5432,5259,5345,27350258.1,2020,3,18,0,2,5299
"177",3892126,"BTCUSDT",240,240,1584475200,1584475200,5046.582,5345,5485,5292,5299,26741838.018,2020,3,18,4,2,5363
"178",3892635,"BTCUSDT",240,240,1584489600,1584489600,6257.955,5299,5380,5243,5363,33561412.665,2020,3,18,8,2,5129
"179",3893139,"BTCUSDT",240,240,1584504000,1584504000,5508.646,5363,5399,5110,5129,28253845.334,2020,3,18,12,2,5108
"180",3893649,"BTCUSDT",240,240,1584518400,1584518400,4531.727,5129,5202,5001,5108,23148061.516,2020,3,18,16,2,5304
"181",3894188,"BTCUSDT",240,240,1584532800,1584532800,5173.609,5108,5357,5000.5,5304,27440822.136,2020,3,18,20,2,5297.5
"182",3894669,"BTCUSDT",240,240,1584547200,1584547200,5187.73,5304,5310,5113,5297.5,27481999.675,2020,3,19,0,3,5372
"183",3895186,"BTCUSDT",240,240,1584561600,1584561600,4717.92,5297.5,5378,5238,5372,25344666.24,2020,3,19,4,3,5256
"184",3895676,"BTCUSDT",240,240,1584576000,1584576000,5197.191,5372,5400.5,5220,5256,27316435.896,2020,3,19,8,3,5389
